순번	구분	기관명	채용유형	직렬태그	모집직렬_원문	인원	대상	학교장추천	추천마감	접수시작	접수마감	상태	필기일	면접일	최종발표	전형절차	필기과목	가점·자격	성적요건	공고링크	관련서류	출처	비고
	확인필요	한국수자원공사	청년인턴(채용형)	기계;전기;전자;시설	사업관리,기계,전기.전자,환경.에너지.안전	40	재학생	미표기		2018-08-20	2018-08-27					* 1차(NCS 직업기초능력평가) - (평가영역) 문제해결능력, 의사소통능력, 수리능력, 자원관리능력 ※ 직업성격검사(1차전형 합격자 대상) - 직업윤리, 자기개발, 대인관계능력 및 인성을 검사 * 2차(면접전형) - (직무면접) 직무상황과 직무지식 등을 연계하여 직무능력 평가 - (역량면접) 공사 핵심가치 부합 여부 및 인성, 역량 평가 * 정규(수습) 임용에 관한 사항 : 3개월 내외 인턴기간 중 평가를 반영하여 채용형 인턴 입사자의 80% 내외를 운영직 8급으로 임명 - 정규직 전환이 불가한 평가결과 하위 20% 내외의 인턴 수료자가 일정평가점수 이상을 득하는 경우, 향후 결원 등 발생시 채용후보자로 운용(단 '19.7.1에 한함)		- 국가유공자 등 예우 및 지원에 관한 법률 등에 의한 취업지원대상자 - 장애인고용촉진 및 직업재활법에 의한 장애인 - 국민기초생활보장법에 의한 국민기초생활 수급자 - 관련분야 산업기사 이상 자격증 소지자 취업지원대상자, 장애인, 인정 보유 자격증 등		https://job.alio.go.kr/recruitview.do?idx=164846	https://job.alio.go.kr/recruitview.do?idx=164846	공공데이터 오픈API(2026-08-27 수집)	🔵 잡알리오 신규 — 시트 반영 검토 필요 / 학력요건: 고졸 / 근무지: 부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주 / 응시자격: 1. 최종 학력이 고등학교 졸업인 자 또는 졸업예정인 자('19. 2월)로서 관련 분야(토목, 전기, 기계, 전자통신, 환경) 기능사 이상 자격증 소지자 2. K-water 인사규정에 의한 채용결격사유가 없는 자 3. 2018년 10월 8일부터 현업 전일근무가 가능한 자
	확인필요	농림수산식품교육문화정보원	무기계약직,청년인턴(채용형)	전자	사업관리,경영.회계.사무,교육.자연.사회과학,문화.예술.디자인.방송,정보통신,농림어업	15	재학생	미표기		2019-01-31	2019-02-15					(1차)지원서 접수 (2차)직무성격검사(온라인) (3차)서류전형 (4차)NCS필기전형 (5차)면접전형		보훈대상자(전형단계별 5점 또는 10점 가점) 장애인(전형단계별 5점 가점) 이전지역(세종시) 출신자(전형단계별 5점 가점) 공공기관 청년인턴 경험자(전형단계별 5점 가점) 보훈대상자, 장애인, 이전지역(세종시) 출신자, 공공기관 청년인턴 경험자		www.epis.or.kr/community/show.do?boardId=recruit&page=1&pageSize=10&keyword=%EC%A0%9C1%EC%B0%A8&column=title&menuNo=3000000007&seq=81557	https://job.alio.go.kr/recruitview.do?idx=178339	공공데이터 오픈API(2026-08-27 수집)	🔵 잡알리오 신규 — 시트 반영 검토 필요 / 학력요건: 고졸,대졸(4년) (고졸 지원 가능, 타 학력과 병행 선발) / 근무지: 서울,세종 / 응시자격: 채용형 청년인턴의 경우「청년고용촉진 특별법 시행령」제2조에 따른 청년으로 임용일 기준 만 15세 이상 만 34세 이하인 자, 고등학교 졸업 후 4년 이상의 실무경력 또는 학사학위 이상(’19년 2월 졸업예정자 포함) 소지자로 농정원 업무 수행에 적합하다고 판단되는 자, 채용형 청년인턴 농업분야는 교육부 표준분류체계 농림
	확인필요	한국산업안전보건공단	무기계약직	시설	환경.에너지.안전	3	확인필요	미표기		2019-02-26	2019-03-07					ㅇ 서류심사(5배수) : 3.11(월) 예정 ㅇ 서류심사 합격자 발표 : 3.12.(화) 예정 ㅇ 면접심사 : 3.15(금) 예정 ㅇ 합격자발표 : 3.18.(월) 예정 ㅇ 임용일 : 3.20.(수) 예정		ㅇ 취업보호(지원)대상자 ㅇ 장애인 ㅇ 산재사망사고유가족, 의사상자 본인 및 유가족 등		kosha.or.kr	https://job.alio.go.kr/recruitview.do?idx=167935	공공데이터 오픈API(2026-08-27 수집)	🔵 잡알리오 신규 — 시트 반영 검토 필요 / 학력요건: 학력무관,고졸,대졸(2~3년) (고졸 지원 가능, 타 학력과 병행 선발) / 근무지: 충북 / 응시자격: (공통) ㅇ 공단인사규정 제18조 결격사유가 없는 자 ㅇ 임용예정일 즉시 근무가 가능한 자 ※ 채용직종별 자격요건 및 수행업무는 공고문 참조
	확인필요	한국철도공사	정규직	시설;기계	건설,기계	173	공통	미표기		2019-03-12	2019-03-25					1. 원서접수 : ’19.3. 26.(화) 14:00～3. 28.(목), 14:00 까지 온라인 접수 ※ 필기시험 수험번호 및 장소 안내 : ’19.4.12(금), 14:00 ※ 입사지원서는 서류접수 마감일시를 확인하시고, 여유 있게 제출하여 주시기 바랍니다. 2. 필기시험 : ’19. 4. 20.(토), 대전지역에서 시행 【’19.4.29.(월) 합격자 발표】 ※ 필기시험 인원에 따라 일부 인원은 학교를 달리하여 필기시험 장소가 지정될 수 있음 3. 면접시험 및 인성역량평가 : ’19.5.9.(목) ～ 5.10.(금) 【’19.5.16.(목) 합격자 발표】 ※ 면접은 개인별 각 1일 시행 4. 철도적성검사 : 개인별 1일간 철도적성검사 시행(철도인재개발원, 경기 의왕) 5. 신체검사는 개별검사를 시행하고 근로계약 체결 전 제출(별도 공지) 6. 신입사원 임용 전 교육 : 합격자에 한정해 별도 통보 ※ 면접시험 합격 후 ’19.6월 중 시행 (4주) ※ 임용 전 교육을 미수료 시 최종 탈락 처리 7. 채용 예정일 : ’19.6월말 ※ 공사 인력운영 사정에 따라 임용시기는 변경될 수 있음 자세한 사항은 첨부의 공고문을 참조하시기 바라며 기타 궁금하신 사항은 담		1. 국가유공자등예우및지원에관한법률에 의한 취업지원대상자(5점, 10점) 2. 장애인고용촉진및직업재활법에서 정한 장애인(5점) ※ 장애인등급제가 ’19.7월 폐지예정으로 채용 단계별 일괄 가점 적용 3. 공통직무 및 해당직무의 기능사 이상 자격증 소지자(총 2개) ☞【붙임5】 ※ 예) (공통직무1, 해당직무 1), (공통직무 2), (해당직무 2) * 기능사 1개당 1점, 산업기사 1개당 2점, 기사 1개당 3점, 기능장 1개당 4점, 기술사 1개당 5점, (자격증 가산점은 2개 합산 시 최대 8점까지 인정) ※ 같은 종별의 자격증은 1개만 인정함(가장 높은 자격증 기입) * 예) 한국사 1급, 한국사 2급, 한국사 3급 소지 시 1개만 인정 국가유공자, 장애인 및 관련 자격증 소지자		www.korail.com	https://job.alio.go.kr/recruitview.do?idx=168793	공공데이터 오픈API(2026-08-27 수집)	🔵 잡알리오 신규 — 시트 반영 검토 필요 / 학력요건: 학력무관,고졸 (고졸 지원 가능, 타 학력과 병행 선발) / 근무지: 서울,대전,경기,충북,충남 / 응시자격: □ 일반공채 분야 1. 공사 채용 결격사유에 해당되지 않는 자 ☞【붙임4】 2. ’19.6.27일부터 근무가 가능한 자 3. 남성의 경우 군필 또는 면제자에 한정함 4. ’19.6.27일 기준 만 18세 미만자 및 정년(만 60세) 초과자는 지원할 수 없음 ※ 3항은 은 입사지원 마감일 기준임(‘19.3.28일까지 가능)
	확인필요	한국직업능력연구원	무기계약직	전자	경영.회계.사무,정보통신	2	졸업생	미표기		2019-03-11	2019-03-26					ㆍ전문직: 서류심사(평균 60점 이상인 자 중 고득점자 순. 채용예정인원의 10배수 이내)-필기시험(인성 및 적성 검사, 채용예정인원의 5배수 이내)-면접시험 ㆍ업무직: 서류심사(평균 60점 이상인 자 중 고득점자 순. 채용예정인원의 5배수 이내)-필기시험(인성검사. 인성검사 P인자 전체)-면접시험 ㆍ최종 합격후보자는 면접전형 점수 60점 이상인 자 중 고득점자 순(채용예정인원의 1배수)		ㆍ관련 법령에 따른 장애인 및 취업지원대상자(보훈) 우대 ㆍ관련 법령에 따른 세종시 지역인재(세종시 소재 대학(대학원 제외) 또는 고등학교(최종학력이 고졸인 경우) 졸업자) ㆍ청년층(2019.5.1. 기준 15세 이상 34세 이하) 우대 ※ 공공기관 블라인드 채용 가이드라인상 입사지원서 인적사항 요구 금지 예외사항으로서, 사회형평적 채용을 위해 필요한 경우에는 입사지원서에 요구 가능 국가유공자, 보훈대상자, 장애인, 지역인재		www.krivet.re.kr/ku/ea/kuDEBVw.jsp?pgn=1&gk=&gv=&gn=H1-H120100252	https://job.alio.go.kr/recruitview.do?idx=168672	공공데이터 오픈API(2026-08-27 수집)	🔵 잡알리오 신규 — 시트 반영 검토 필요 / 학력요건: 고졸 / 근무지: 세종 / 응시자격: ㆍ전문직-정보보안 분야: 학사학위 이상 소지자이고, 정보보호 관련학과 이수자 or 3년 이상의 정보보안 업무경력자 or CISA/CISSP/정보보안(산업)기사 중 1개 이상의 정보보호 공인자격증 보유자 ㆍ업무직-영선 분야: 고등학교 졸업 이상자이고, 시설물 유지·관리 관련 업무 2년 이상 유경력자로, 전기/통신/건축 등
	확인필요	한국석유관리원	정규직	시설	화학,환경.에너지.안전	20	공통	필요		2019-03-19	2019-04-03					1.서류전형 (일반) 자격사항, 어학사항 (고졸) 고등학교 전 학년 성적, 자격사항, 사회봉사 활동시간 2. 필기전형 (시험과목) NCS직업기초능력 + 직무분야 3. 면접전형 - 입사지원서 자기소개서, 경험/경력/직무관련활동사항 등을 토대로 직무적합성(경험, 상황, 활동) 및 직업기초능력 등에 대한 심층면접		관리원 채용형 시간제, 업무지원직 및 별정직 근무 유경험자, 취업지원대상자, 장애인, 저소득층, 경력단절여성, 중소기업 경력자, 비수도권 지역인재 관리원 채용형 시간제, 업무지원직 및 별정직 근무 유경험자, 취업지원대상자, 장애인, 저소득층, 경력단절여성, 중소기업 경력자, 비수도권 지역인재		www.kpetro.or.kr/lay1/bbs/S1T52C257/F/72/view.do?article_seq=11760&cpage=1&rows=10&condition=&keyword=&show=&cat=	https://job.alio.go.kr/recruitview.do?idx=169215	공공데이터 오픈API(2026-08-27 수집)	🔵 잡알리오 신규 — 시트 반영 검토 필요 / ⚠️ 학교장 추천: - 최종 졸업학력이 고등학교를 졸업한 자 중 학교장이 추천하는 자(고등학교 검정고시 합격자 및 대학 중퇴자를 포함, 고등학교 졸업예정자 및 대학교 재학 중인 자 제외) / 학력요건: 학력무관,고졸 (고졸 지원 가능, 타 학력과 병행 선발) / 근무지: 부산,광주,세종,경기,강원,충북,전북,경북,제주 / 응시자격: <공통> 1. 채용예정일 기준, 만 34세 이하인 자(1984.5.14.이후 출생자) 2. 채용확정 후 2019.5.13.부터 즉시 업무종사 가능자 3. 남자의 경우 병역필 또는 면제자(2019.5.12. 이전 전역예정자 포함) 4. 운전면허 2종보통 이상 면허증 소지자 *공고 마감일까지 취득 완료하여 증빙할 수 있는 지
	확인필요	공무원연금공단	정규직,청년인턴(채용형)	시설;전기;전자	사업관리,경영.회계.사무,금융.보험,건설,전기.전자	40	공통	필요		2019-03-25	2019-04-08					* 채용인원 : 40명 (모집전형별 채용규모 붙임참조) * 전형절차 1. 원서접수 : 3.25.(월) ~4.8.(월) 18:00까지 - 채용홈페이지 접수 2. 서류전형 - (5급) 정량평가(자격증,외국어,교육) 60점 + 정성평가(교육기술서,경력경험기술서,자기소개서) 40점 + 우대사항 최대10점 - (7급) 정량평가(자격증,학업성적) 60점 + 정성평가(교육기술서,경력경험기술서,자기소개서) 40점 + 우대사항 최대10점 - 합격자발표 : 4. 19.(금) 16:00, 채용홈페이지 공시 - 선발인원 : 채용분야별 채용예정인원 30배수 - 필기전형 현장사전등록을 위한 예비합격자(40명) 운영 3. 필기시험 : 4. 27.(토) - (5급) 직업기초능력평가 60점 + 전문지식 40점 * 전문지식 : 분야별 전문과목 + 한국사 · 사무 : 경영경제, 행정법학, 인문사회 중 선택 1과목 · 전산 : 전산학 · 건축 : 건축학 · 전기 : 전기학 - (7급) 직업기초능력평가 100점 - 필기시험 합격자 발표 : 4. 30.(화) 16:00, 채용홈페이지 공시 - 선발인원 : 채용분야별 채용예정인원의 3-5배수 4. 서류전형 증빙자료 제출 : 4. 30.(화) ~ 5.		- 취업지원대상자 : 전형별 5~10점 가점 - 장애인 : 서류, 필기전형 5점 가점(7급은 10점가점) - 기초생활수급자 : 서류전형 5점 가점 - 비수도권 : 서류전형 2점 가점 - 우리공단 우수청년인턴 : 서류전형 면제 - 이전지역(제주) 인재 : 채용목표제 실시 * 우대조건은 전형별 만점대비 40점 이상 득점자에 한해 적용 * 상이한 유형의 가점은 최대 10점까지 모두 가산 취업지원대상자, 장애인, 국민기초생활수급자, 비수도권인재, 우리공단우수청년인턴, 이전지역(제주)인재		geps.trns.kr/main.do	https://job.alio.go.kr/recruitview.do?idx=173430	공공데이터 오픈API(2026-08-27 수집)	🔵 잡알리오 신규 — 시트 반영 검토 필요 / ⚠️ 학교장 추천: - 내신평균 2등급 이내로 학교장 추천을 받은자 / 학력요건: 학력무관,고졸 (고졸 지원 가능, 타 학력과 병행 선발) / 근무지: 서울,부산,대구,광주,대전,세종,경기,강원,전북,제주 / 응시자격: * 공통 - 우리공단 인사규정에 의한 임용결격 사유가 없는자 - 남성의 경우 병역필 또는 면제자 * 5급 - 성별, 학력, 연령 제한없음 - (사무 보훈) : 취업지원대상자 - (사무 장애) : 장애인 - (전산) 정보처리기사 보유자 - (건축) 건축기사, 실내건축기사, 건축설비기사 중 1개이상 보유자 - (전기) 전기기
	확인필요	한국산업안전보건공단	무기계약직	시설	환경.에너지.안전	3	확인필요	미표기		2019-04-04	2019-04-14					ㅇ 서류심사(5배수) : 4.16(화) 예정 ㅇ 서류심사 합격자 발표 : 4.17.(수) 예정 ㅇ 면접심사 : 4.23(화) 예정 ㅇ 합격자발표 : 4.24(수) 예정 ㅇ 임용일 : 4.29.(월) 예정		ㅇ 취업보호(지원)대상자 ㅇ 장애인 ㅇ 산재사망사고유가족, 의사상자 본인 및 유가족 등		kosha.or.kr	https://job.alio.go.kr/recruitview.do?idx=171151	공공데이터 오픈API(2026-08-27 수집)	🔵 잡알리오 신규 — 시트 반영 검토 필요 / 학력요건: 학력무관,고졸,대졸(2~3년) (고졸 지원 가능, 타 학력과 병행 선발) / 근무지: 충북 / 응시자격: (공통) ㅇ 공단인사규정 제18조 결격사유가 없는 자 ㅇ 임용예정일 즉시 근무가 가능한 자 ※ 채용직종별 자격요건 및 수행업무는 공고문 참조
	확인필요	사립학교교직원연금공단	청년인턴(채용형)	시설;전기;전자	경영.회계.사무,금융.보험,법률.경찰.소방.교도.국방,건설,전기.전자	17	공통	필요		2019-04-01	2019-04-16					1. 1차 : 서류전형 - 채용예정인원의 30배수 선발 - 정량적 능력평가(50점) + 정성적 능력평가(50점) 2. 2차 : 필기전형 - 채용예정인원의 4배수 선발 - [1교시] 직업기초능력평가(50점) - [2교시] 직무수행능력평가(50점) - [3교시] 인적성검사 3. 3차 : 1차 면접전형 - 채용예정인원의 2배수 선발 - 일반/보훈 : 토론면접(30점) + 개별면접(70점) - 고졸 : 개별면접(100점) 4. 4차 : 2차 면접전형 - 일반/보훈/고졸 : 임원면접(100점) ※ 최종합격은 채용신체검사 및 신원조사 결과 적합한 경우에 한함		□ 가산점 부여 : 보훈대상자, 장애인, 공공기관 인턴경력자, 지역인재는 관련 법률 및 기준 등에 따라 가산점 부여 ※ 2018년도 사학연금공단 체험형 청년인턴 수료자 : 서류전형 면제 보훈대상자, 장애인, 공공기관 인턴경력자, 지역인재 등		tp.recruiter.co.kr	https://job.alio.go.kr/recruitview.do?idx=170179	공공데이터 오픈API(2026-08-27 수집)	🔵 잡알리오 신규 — 시트 반영 검토 필요 / ⚠️ 학교장 추천: 2월 졸업예정자 포함)로 고등학교장의 추천을 받은 자(검정고시 등 상세내용은 첨부파일 참조) / 학력요건: 학력무관,고졸 (고졸 지원 가능, 타 학력과 병행 선발) / 근무지: 서울,부산,대구,대전,강원,전남 / 응시자격: 1. 일반 □ 성별, 학력, 전공 제한 없음 □ 직무기술서에 의거, 해당 직무에 적합한 자 2. 보훈 □ 취업지원대상자 3. 고졸 □ 최종학력이 고교졸업자('20.2월 졸업예정자 포함)로 고등학교장의 추천을 받은 자(검정고시 등 상세내용은 첨부파일 참조)
	확인필요	한국환경산업기술원	무기계약직	시설	경비.청소,환경.에너지.안전	25	졸업생	미표기		2019-04-02	2019-04-16					가. 전문직 1) 서류심사 : 5배수 - 응시자격요건을 갖추고 제출서류에 이상이 없는 자를 대상으로 다음요건에 따라 심사 : 자격사항(20점)/자기소개서(40점)/전문성(40점)/가점 - 60점 미만, 자격 미달자, 서류 미비자는 탈락 처리 - 배수 내외 동점자는 면접심사 기회 부여 2) 인성검사 - 서류전형 합격자 대상으로 오프라인 인성검사 실시 - 면접 참고자료로 활용 - 인성검사 불참자 탈락 처리 3) 면접심사 : 1배수 - 면접 내용 a) 발표면접(업무경력PPT) : 문제해결능력(10점) / 논리력(10점) / 설득력(10점) / 주제이해력(10점) / 표현력(10점) b) 경험면접 : 전문성(10점) / 업무적합성(10점) / 조직적응력(10점) / 리더십(10점) / 자질 및 기여도(10점) c) 가점 - 분야별 2배수 범위 내에서 예비합격자를 두어 입사 포기, 수습기간 내 퇴직 등 결원 발생 시 예비합격자 순위에 따라 즉각 충원 : 최초 합격자 임용일로부터 내부규정에 따른 수습기간(3개월 이내) 동안에만 유효함 - 60점 미만인 경우 탈락 처리 - 동점자의 경우, 서류심사 고득점자 순으로 선발 나. 행정직 1)서류심사 : 20배수 - 응시자격요건		<공통> - 국가유공자 등 취업지원대상자(5~10점) - 장애인(5점) - 비수도권 지역인재 정부권장정책 기준(3점) - 정부 및 공공기관 청년인턴으로 4개월 이상 경험자(5점) <미화> - 접수 마감일 기준으로 준고령자(만 50세) 이상인 자(5점) ※ 국가유공자 등 취업지원대상자 이외의 가점은 서류심사에만 적용되며, 서류심사에 적용되는 가점 한도는 15점임. 다만, 국가유공자 등 취업지원대상자는 서류심사 뿐만 아니라 전체 전형단계별(서류, 필기, 면접)로 가점을 적용함 국가유공자 등 취업지원대상자(5~10점), 장애인(5점), 비수도권 지역인재 정부권장정책 기준(3점), 정부 및 공공기관 청년인턴으로 4개월 이상 경험자(5점), 접수 마감일 기준으로 준고령자(만 50세) 이상인 자(5점, 미화)		keiti.re.kr	https://job.alio.go.kr/recruitview.do?idx=170327	공공데이터 오픈API(2026-08-27 수집)	🔵 잡알리오 신규 — 시트 반영 검토 필요 / 학력요건: 고졸,대졸(4년) (고졸 지원 가능, 타 학력과 병행 선발) / 근무지: 서울,인천 / 응시자격: 가. 전문직 1) 변호사 : 변호사 자격 소지자 2) 플랜트사업 : 환경공학, 기계공학, 전기공학, 전자공학, 화학공학, 건축(공)학, 토목공학, 산업공학 관련 학과* 학사 학위 보유자로 플랜트 엔지니어링 관련 분야 7년 이상의 경력**을 가진 자 * 교육부 표준분류계열정보 중 환경공학, 기계공학, 전기공학, 전자공학,
